from,to,relationship,weight
Apa,Two,3,3
Apa,Fou,4,2
Apa,Son,5,1
Ufo,Sta,3,3
Ufo,Gro,4,2
Bon,Str,4,3
Bon,Uni,5,1
Aka,Xyr,4,3
Aka,Uni,5,1
Juj,Jin,4,2
Lor,Gro,4,3
Kit,Sou,4,3
Jam,Lif,3,3
Jam,Gro,4,3
Cap,Bra,3,3
Cap,Urb,4,2
Cap,Uni,5,1
Sam,Urb,4,3
Sam,Uni,5,1
Lea,Tre,3,3
Lea,Fou,4,2
Lea,Son,5,1
Bau,Dow,4,3
Bau,War,5,1
Max,Str,4,3
Max,Uni,5,1
Jos,Ind,3,3
Jos,Gro,4,2
Kaf,Kay,4,3
Sid,Agg,3,3
Sid,Urb,4,2
Sid,Uni,5,1
Rin,Gol,3,3
Rin,Urb,4,2
Rin,Uni,5,1
Foy,Lif,3,3
Foy,Gro,4,2
Nim,Ide,3,3
Nim,Urb,4,2
Nim,Uni,5,1
Hav,Imp,4,3
Hav,Son,5,1
Hen,Bmg,4,3
Clu,Ver,3,3
Clu,Uni,5,1
Kcr,Reb,3,3
Kcr,Ver,4,2
Kcr,Uni,5,1
Sum,Ban,4,3
Sum,War,5,1
Luc,Loc,3,3
Luc,Urb,4,2
Luc,Uni,5,1
Cro,Tru,3,3
Cro,Urb,4,2
Cro,Uni,5,1
Eli,Urb,4,3
Eli,Uni,5,1
Koo,Ess,4,3
Koo,Son,5,1
Ali,Two,3,3
Ali,Fou,4,2
Ali,Son,5,1
Dar,Hyp,3,3
Dar,Urb,4,2
Dar,Uni,5,1
Mon,War,5,3
Cel,Gro,4,3
Kon,Bmg,4,3
Two,Fou,6,3
Fou,Son,8,3
Two,Son,7,2
Sta,Gro,6,3
Str,Uni,8,3
Xyr,Uni,8,3
Lif,Gro,6,3
Bra,Urb,6,3
Urb,Uni,8,3
Bra,Uni,7,2
Tre,Fou,6,3
Tre,Son,7,2
Dow,War,8,3
Ind,Gro,6,3
Agg,Urb,6,3
Agg,Uni,7,2
Gol,Urb,6,3
Gol,Uni,7,2
Ide,Urb,6,3
Ide,Uni,7,2
Imp,Son,8,3
Ver,Uni,8,3
Reb,Ver,6,3
Reb,Uni,7,2
Ban,War,8,3
Loc,Urb,6,3
Loc ,Uni,7,2
Hyp,Urb,6,3
Hyp,Uni,7,2
Tru,Urb,6,3
Tru,Uni,7,3
Ess,Son,8,3
Bon,Aka,1,1
Juj,Lor,1,1
Kit,Jam,1,1
Cap,Sam,1,2
Sam,Lea,1,1
Cap,Lea,1,2
Bau,Max,1,1
Max,Jos,1,1
Bau,Jos,1,1
Sid,Apa,1,1
Hen,Juj,1,1
Cap,Lor,1,2
Cap,Clu,1,1
Cap,Kcr,1,1
Clu,Kcr,1,1
Sum,Luc,1,2
Sum,Jam,1,2
Luc,Jam,1,2
Cap,Cro,1,1
Bau,Juj,1,1
Bau,Rin,1,2
Sam,Eli,1,2
Sum,Kcr,2,3
Koo,Ali,1,1
Dar,Mon,2,3
Kon,Sam,1,1
Ufo,Bau,1,2
Ufo,Rin,1,1
Ufo,Cel,1,1
Bon,Max,1,2
Aka,Kon,1,2
Koo,Sid,1,2
Koo,Rin,1,1
Kit,Rin,1,1
Dar,Hav,1,2
Cel,Lor,1,1
Kon,Luc,1,1
Jos,Sum,1,1
Cap,Sid,1,1
Foy,Jam,1,1
Foy,Mon,1,1
Nim,Jam,1,1
Nim,Cap,1,1
Nim,Sum,1,1
Sum,Cap,1,1
Ufo,Lor,1,1
Koo,Jam,1,1
Cro,Kit,1,1
Hen,Kit,1,1
Cro,Hen,1,1
Bon,Kit,1,1
Cro,Jam,1,1
Eli,Cap,1,1
Luc,Nim,1,1
Ufo,Luc,1,1